Model,URL,Price,Ratings
"Intex Aqua Crystal Plus (Black, 16 GB)",https://www.flipkart.com/intex-aqua-crystal-plus-black-16-gb/p/itmetfny5jmzxuyq?pid=MOBETFNYTTH6BXSD&lid=LSTMOBETFNYTTH6BXSDEH8PN0&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBETFNYTTH6BXSD.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹7,490","4,034 Ratings "
"Moto C Plus (Fine Gold, 16 GB)",https://www.flipkart.com/moto-c-plus-fine-gold-16-gb/p/itmeuyd6nhzycmaa?pid=MOBEU9WRZHRVWXTK&lid=LSTMOBEU9WRZHRVWXTKGQWIY8&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBEU9WRZHRVWXTK.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹6,811","3,65,779 Ratings "
KARBONN K24+,https://www.flipkart.com/karbonn-k24/p/itmevhgww3zugme4?pid=MOBEVHGWWDBHHA7P&lid=LSTMOBEVHGWWDBHHA7PEJV8WV&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBEVHGWWDBHHA7P.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,199","4,336 Ratings "
"APPLE iPhone 6s Plus (Rose Gold, 32 GB)",https://www.flipkart.com/apple-iphone-6s-plus-rose-gold-32-gb/p/itmen2yyuyggpx32?pid=MOBEN2YYNZNK7MPF&lid=LSTMOBEN2YYNZNK7MPFKY9CMG&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBEN2YYNZNK7MPF.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹34,900","18,845 Ratings "
"Moto E5 Plus (Black, 32 GB)",https://www.flipkart.com/moto-e5-plus-black-32-gb/p/itmf72ug9znghsz3?pid=MOBF7FMRRGXFB8EU&lid=LSTMOBF7FMRRGXFB8EUINZUMP&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBF7FMRRGXFB8EU.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹11,999","33,528 Ratings "
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)",https://www.flipkart.com/nokia-c20-plus-smartphone-ocean-blue-32-gb/p/itma406124fb5693?pid=MOBG5ME6JBHUA4QH&lid=LSTMOBG5ME6JBHUA4QH0J9FM2&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBG5ME6JBHUA4QH.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹9,350",52 Ratings 
I-Plus MO63,https://www.flipkart.com/i-plus-mo63/p/itm2daeac823a7a3?pid=MOBG5ZABTQ2EXNHU&lid=LSTMOBG5ZABTQ2EXNHUGIED2B&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBG5ZABTQ2EXNHU.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,₹799,52 Ratings 
"APPLE iPhone 7 Plus (Black, 32 GB)",https://www.flipkart.com/apple-iphone-7-plus-black-32-gb/p/itmen6davhyetcwf?pid=MOBEMK6289R7UFQH&lid=LSTMOBEMK6289R7UFQHEIIGH8&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBEMK6289R7UFQH.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹36,999","29,796 Ratings "
"Nokia C20 Plus Smartphone (Dark Grey, 32 GB)",https://www.flipkart.com/nokia-c20-plus-smartphone-dark-grey-32-gb/p/itmbe82bd5aa95b8?pid=MOBG5ME6D6SASD2A&lid=LSTMOBG5ME6D6SASD2AXDIZTT&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBG5ME6D6SASD2A.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹8,999",52 Ratings 
"YU Yunique 2 Plus (Coal Black, 16 GB)",https://www.flipkart.com/yu-yunique-2-plus-coal-black-16-gb/p/itmeww9jyzwjuvwh?pid=MOBEWW8FF4RACNNP&lid=LSTMOBEWW8FF4RACNNP1RKHLE&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBEWW8FF4RACNNP.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹7,999","7,325 Ratings "
